TIMECODE,FADE IN,FADE OUT,FUNCTION,NAME,DURATION
03:07.8,NONE,NONE,Chaser,TAB STAGGER CHASE,00:07.2
03:07.8,NONE,NONE,Scene,LED STATIC RED/BLUE,00:07.2
03:07.8,NONE,NONE,Scene,HALF STAGE WASH,00:07.2
03:07.8,NONE,NONE,Scene,SPOTLIGHT,00:07.2
03:15.0,NONE,NONE,Chaser,QUICK WHITE PULSE,00:06.1
03:15.0,NONE,NONE,Chaser,QUICK LED RED/BLUE PULSE,00:06.1
03:15.0,NONE,NONE,Scene,SPOTLIGHT,00:06.1
03:21.1,NONE,NONE,Scene,CIRCUS WASH,00:01.5
03:22.6,NONE,NONE,Chaser,TAB CHASE LOOP,00:09.8
03:22.6,NONE,NONE,Scene,LED STATIC RED/BLUE,00:09.8
03:22.6,NONE,NONE,Scene,HALF STAGE WASH,00:09.8
03:22.6,NONE,NONE,Chaser,WHITE PULSE CHASE,00:09.8
03:32.4,NONE,NONE,Scene,BLUE STAGE WASH,00:00.8
03:32.4,NONE,NONE,Scene,HALF STAGE WASH,00:00.8
03:33.2,NONE,NONE,Scene,CIRCUS WASH,00:02.3
03:35.5,NONE,NONE,Chaser,TAB STAGGER CHASE,00:03.6
03:35.5,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.6
03:35.5,NONE,NONE,Scene,HALF STAGE WASH,00:03.6
03:35.5,NONE,NONE,Chaser,WHITE PULSE CHASE,00:03.6
03:39.0,NONE,NONE,Scene,CIRCUS WASH,00:01.8
03:40.8,NONE,NONE,Chaser,TAB STAGGER CHASE,00:03.7
03:40.8,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.7
03:40.8,NONE,NONE,Scene,HALF STAGE WASH,00:03.7
03:40.8,NONE,NONE,Chaser,WHITE PULSE CHASE,00:03.7
03:44.5,NONE,NONE,Scene,BLUE STAGE WASH,00:00.8
03:45.4,NONE,NONE,Scene,CIRCUS WASH,00:06.0
