,FADE IN,FUNCTION 1 TYPE,FUNCTION 1 NAME,FUNCTION 2 TYPE,FUNCTION 2 NAME,FUNCTION 3 TYPE,FUNCTION 3 NAME
LFX169,MEDIUM,CHASER,PARTY CHASE,,,,
LFX170,QUICK,SCENE,RED STAGE WASH,,,,
LFX171,QUICK,SCENE,BLACKOUT,,,,
LFX172,SLOW,SCENE,WHALE STAGE WASH,,,,
LFX173,MEDIUM,CHASER,TWINKLY,,,,
LFX174,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX175,MEDIUM,CHASER,TWINKLY,,,,
LFX176,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX177,MEDIUM,CHASER,TWINKLY,,,,
LFX178,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX180,QUICK,SCENE,BLACKOUT,,,,
LFX181,QUICK,CHASER,TWINKLY,SCENE,HALF STAGE WASH,,
LFX182,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX183,MEDIUM,SCENE,CS FOCUS,,,,
LFX184,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX185,QUICK,CHASER,MAGICAL CHASE,,,,
LFX186,SLOW,SCENE,FULL STAGE WASH,,,,
LFX187,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX188,MEDIUM,SCENE,CS FOCUS,,,,
LFX189,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX190,SLOW,SCENE,BLACKOUT,,,,
LFX191,MEDIUM,SCENE,FULL TAB WASH,SCENE,BACKSTAGE,,
LFX192,SLOW,SCENE,BLACKOUT,,,,
LFX193,MEDIUM,CHASER,PARTY CHASE,,,,
LFX194,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX195,MEDIUM,CHASER,PARTY CHASE,,,,
LFX196,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX197,MEDIUM,SCENE,BLACKOUT,,,,
LFX198,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX199,SLOW,SCENE,BLACKOUT,,,,
LFX200,SLOW,SCENE,TAB WARMER,SCENE,BACKSTAGE,,
